ID,F Score
00000,F-score: 0.20
00001,F-score: 0.12
00002,F-score: 0.23
00003,F-score: 0.27
00004,F-score: 0.15
00005,F-score: 0.10
00006,F-score: 0.19
00007,F-score: 0.18
00008,F-score: 0.19
00009,F-score: 0.16
00010,F-score: 0.23
00011,F-score: 0.20
00012,F-score: 0.10
00013,F-score: 0.14
00014,F-score: 0.16
00015,F-score: 0.13
00016,F-score: 0.21
00017,F-score: 0.19
00018,F-score: 0.30
00019,F-score: 0.13
00020,F-score: 0.32
00021,F-score: 0.22
00022,F-score: 0.04
00023,F-score: 0.21
00024,F-score: 0.09
00025,F-score: 0.20
00026,F-score: 0.17
00027,F-score: 0.25
00028,F-score: 0.34
00029,F-score: 0.14
00030,F-score: 0.29
00031,F-score: 0.20
00032,F-score: 0.32
00033,F-score: 0.33
00034,F-score: 0.30
00035,F-score: 0.25
00036,F-score: 0.28
00037,F-score: 0.29
00038,F-score: 0.05
00039,F-score: 0.15
00040,F-score: 0.22
00041,F-score: 0.28
00042,F-score: 0.23
00043,F-score: 0.24
00044,F-score: 0.26
00045,F-score: 0.31
00046,F-score: 0.14
00047,F-score: 0.22
00048,F-score: 0.25
00049,F-score: 0.20
00050,F-score: 0.24
00051,F-score: 0.21
00052,F-score: 0.27
00053,F-score: 0.21
00054,F-score: 0.24
00055,F-score: 0.25
00056,F-score: 0.20
00057,F-score: 0.30
00058,F-score: 0.21
00059,F-score: 0.27
00060,F-score: 0.24
00061,F-score: 0.33
00062,F-score: 0.27
00063,F-score: 0.19
00064,F-score: 0.22
00065,F-score: 0.29
00066,F-score: 0.23
00067,F-score: 0.31
00068,F-score: 0.30
00069,F-score: 0.25
00100,F-score: 0.35
00101,F-score: 0.35
00102,F-score: 0.36
00103,F-score: 0.22
00104,F-score: 0.35
00105,F-score: 0.27
00106,F-score: 0.27
00107,F-score: 0.37
00108,F-score: 0.24
00109,F-score: 0.21
00110,F-score: 0.27
00111,F-score: 0.17
00112,F-score: 0.27
00113,F-score: 0.15
00114,F-score: 0.18
00115,F-score: 0.27
00116,F-score: 0.22
00117,F-score: 0.27
00118,F-score: 0.28
00119,F-score: 0.29
00120,F-score: 0.29
00121,F-score: 0.24
00122,F-score: 0.32
00123,F-score: 0.22
00124,F-score: 0.27
00125,F-score: 0.20
00126,F-score: 0.33
00127,F-score: 0.14
00128,F-score: 0.22
00129,F-score: 0.24
00130,F-score: 0.23
00131,F-score: 0.25
00132,F-score: 0.27
00133,F-score: 0.23
00134,F-score: 0.23
00135,F-score: 0.28
00136,F-score: 0.26
00137,F-score: 0.20
00138,F-score: 0.28
00139,F-score: 0.23
00140,F-score: 0.24
00141,F-score: 0.26
00142,F-score: 0.13
00143,F-score: 0.34
00144,F-score: 0.29
00145,F-score: 0.35
00146,F-score: 0.25
00147,F-score: 0.21
00148,F-score: 0.26
00149,F-score: 0.23
00150,F-score: 0.23
00151,F-score: 0.30
00152,F-score: 0.31
00153,F-score: 0.24
00154,F-score: 0.29
00155,F-score: 0.30
00156,F-score: 0.29
00157,F-score: 0.28
00158,F-score: 0.25
00159,F-score: 0.20
00160,F-score: 0.22
00161,F-score: 0.26
00162,F-score: 0.29
00163,F-score: 0.24
00164,F-score: 0.23
00165,F-score: 0.28
00166,F-score: 0.22
00167,F-score: 0.29
00168,F-score: 0.27
00169,F-score: 0.20
00170,F-score: 0.34
00200,F-score: 0.26
00201,F-score: 0.22
00202,F-score: 0.31
00203,F-score: 0.18
00204,F-score: 0.20
00205,F-score: 0.09
00206,F-score: 0.20
00207,F-score: 0.24
00208,F-score: 0.18
00209,F-score: 0.28
00210,F-score: 0.22
00211,F-score: 0.19
00212,F-score: 0.24
00213,F-score: 0.20
00214,F-score: 0.17
00215,F-score: 0.15
00216,F-score: 0.24
00217,F-score: 0.15
00218,F-score: 0.22
00219,F-score: 0.23
00220,F-score: 0.24
00221,F-score: 0.25
00222,F-score: 0.25
00223,F-score: 0.14
00224,F-score: 0.24
00225,F-score: 0.24
00226,F-score: 0.26
00227,F-score: 0.20
00228,F-score: 0.23
00229,F-score: 0.18
00230,F-score: 0.27
00231,F-score: 0.20
00232,F-score: 0.23
00233,F-score: 0.28
00234,F-score: 0.27
00235,F-score: 0.27
00236,F-score: 0.21
00237,F-score: 0.21
00238,F-score: 0.22
00239,F-score: 0.23
00240,F-score: 0.21
00241,F-score: 0.24
00242,F-score: 0.19
00243,F-score: 0.20
00244,F-score: 0.23
00245,F-score: 0.24
00246,F-score: 0.18
00247,F-score: 0.19
00248,F-score: 0.23
00249,F-score: 0.30
00250,F-score: 0.19
00251,F-score: 0.25
00252,F-score: 0.23
00253,F-score: 0.17
00254,F-score: 0.26
00255,F-score: 0.24
00256,F-score: 0.27
00257,F-score: 0.19
00258,F-score: 0.06
00259,F-score: 0.24
00260,F-score: 0.28
00261,F-score: 0.18
00262,F-score: 0.17
00263,F-score: 0.18
00264,F-score: 0.12
00265,F-score: 0.23
00266,F-score: 0.18
00267,F-score: 0.18
00268,F-score: 0.18
00269,F-score: 0.32
00270,F-score: 0.17
